	tissue_1	tissue_2	p-val	com_treat
5	bladder	liver	1.0	gamma-peposertib
6	bladder	lung	1.0	gamma-peposertib
7	bladder	melanoma	1.0	gamma-peposertib
8	bladder	ovary	0.08449647008240357	gamma-peposertib
9	bladder	pancreas	1.0	gamma-peposertib
10	bladder	prostate	1.0	gamma-peposertib
11	bladder	sarcoma	1.0	gamma-peposertib
12	brain	bladder	1.0	gamma-peposertib
13	brain	brain	1.0	gamma-peposertib
14	brain	breast	1.0	gamma-peposertib
15	brain	colon	1.0	gamma-peposertib
16	brain	hematological	0.15841825141300228	gamma-peposertib
17	brain	liver	1.0	gamma-peposertib
18	brain	lung	1.0	gamma-peposertib
19	brain	melanoma	1.0	gamma-peposertib
20	brain	ovary	1.0	gamma-peposertib
21	brain	pancreas	1.0	gamma-peposertib
22	brain	prostate	1.0	gamma-peposertib
23	brain	sarcoma	1.0	gamma-peposertib
24	breast	bladder	1.0	gamma-peposertib
25	breast	brain	1.0	gamma-peposertib
26	breast	breast	1.0	gamma-peposertib
27	breast	colon	1.0	gamma-peposertib
28	breast	hematological	0.5934121646833034	gamma-peposertib
29	breast	liver	1.0	gamma-peposertib
30	breast	lung	1.0	gamma-peposertib
31	breast	melanoma	1.0	gamma-peposertib
32	breast	ovary	1.0	gamma-peposertib
33	breast	pancreas	1.0	gamma-peposertib
34	breast	prostate	1.0	gamma-peposertib
35	breast	sarcoma	1.0	gamma-peposertib
36	colon	bladder	1.0	gamma-peposertib
37	colon	brain	1.0	gamma-peposertib
38	colon	breast	1.0	gamma-peposertib
39	colon	colon	1.0	gamma-peposertib
40	colon	hematological	0.006486718425979044	gamma-peposertib
41	colon	liver	1.0	gamma-peposertib
42	colon	lung	1.0	gamma-peposertib
43	colon	melanoma	1.0	gamma-peposertib
44	colon	ovary	1.0	gamma-peposertib
45	colon	pancreas	1.0	gamma-peposertib
46	colon	prostate	1.0	gamma-peposertib
47	colon	sarcoma	1.0	gamma-peposertib
48	hematological	bladder	0.0005587827154791535	gamma-peposertib
49	hematological	brain	0.15841825141300228	gamma-peposertib
50	hematological	breast	0.5934121646833034	gamma-peposertib
51	hematological	colon	0.006486718425979044	gamma-peposertib
52	hematological	hematological	1.0	gamma-peposertib
53	hematological	liver	0.04228764387209196	gamma-peposertib
54	hematological	lung	1.0	gamma-peposertib
55	hematological	melanoma	1.0	gamma-peposertib
56	hematological	ovary	1.0	gamma-peposertib
57	hematological	pancreas	0.17932002448668555	gamma-peposertib
58	hematological	prostate	1.0	gamma-peposertib
59	hematological	sarcoma	0.0052388700228479124	gamma-peposertib
60	liver	bladder	1.0	gamma-peposertib
61	liver	brain	1.0	gamma-peposertib
62	liver	breast	1.0	gamma-peposertib
63	liver	colon	1.0	gamma-peposertib
64	liver	hematological	0.04228764387209196	gamma-peposertib
65	liver	liver	1.0	gamma-peposertib
66	liver	lung	1.0	gamma-peposertib
67	liver	melanoma	1.0	gamma-peposertib
68	liver	ovary	0.6264854953754254	gamma-peposertib
69	liver	pancreas	1.0	gamma-peposertib
70	liver	prostate	1.0	gamma-peposertib
71	liver	sarcoma	1.0	gamma-peposertib
72	lung	bladder	1.0	gamma-peposertib
73	lung	brain	1.0	gamma-peposertib
74	lung	breast	1.0	gamma-peposertib
75	lung	colon	1.0	gamma-peposertib
76	lung	hematological	1.0	gamma-peposertib
77	lung	liver	1.0	gamma-peposertib
78	lung	lung	1.0	gamma-peposertib
79	lung	melanoma	1.0	gamma-peposertib
80	lung	ovary	1.0	gamma-peposertib
81	lung	pancreas	1.0	gamma-peposertib
82	lung	prostate	1.0	gamma-peposertib
83	lung	sarcoma	1.0	gamma-peposertib
84	melanoma	bladder	1.0	gamma-peposertib
85	melanoma	brain	1.0	gamma-peposertib
86	melanoma	breast	1.0	gamma-peposertib
87	melanoma	colon	1.0	gamma-peposertib
88	melanoma	hematological	1.0	gamma-peposertib
89	melanoma	liver	1.0	gamma-peposertib
90	melanoma	lung	1.0	gamma-peposertib
91	melanoma	melanoma	1.0	gamma-peposertib
92	melanoma	ovary	1.0	gamma-peposertib
93	melanoma	pancreas	1.0	gamma-peposertib
94	melanoma	prostate	1.0	gamma-peposertib
95	melanoma	sarcoma	1.0	gamma-peposertib
96	ovary	bladder	0.08449647008240357	gamma-peposertib
97	ovary	brain	1.0	gamma-peposertib
98	ovary	breast	1.0	gamma-peposertib
99	ovary	colon	1.0	gamma-peposertib
100	ovary	hematological	1.0	gamma-peposertib
101	ovary	liver	0.6264854953754254	gamma-peposertib
102	ovary	lung	1.0	gamma-peposertib
103	ovary	melanoma	1.0	gamma-peposertib
104	ovary	ovary	1.0	gamma-peposertib
105	ovary	pancreas	1.0	gamma-peposertib
106	ovary	prostate	1.0	gamma-peposertib
107	ovary	sarcoma	1.0	gamma-peposertib
108	pancreas	bladder	1.0	gamma-peposertib
109	pancreas	brain	1.0	gamma-peposertib
110	pancreas	breast	1.0	gamma-peposertib
111	pancreas	colon	1.0	gamma-peposertib
112	pancreas	hematological	0.17932002448668555	gamma-peposertib
113	pancreas	liver	1.0	gamma-peposertib
114	pancreas	lung	1.0	gamma-peposertib
115	pancreas	melanoma	1.0	gamma-peposertib
116	pancreas	ovary	1.0	gamma-peposertib
117	pancreas	pancreas	1.0	gamma-peposertib
118	pancreas	prostate	1.0	gamma-peposertib
119	pancreas	sarcoma	1.0	gamma-peposertib
120	prostate	bladder	1.0	gamma-peposertib
121	prostate	brain	1.0	gamma-peposertib
122	prostate	breast	1.0	gamma-peposertib
123	prostate	colon	1.0	gamma-peposertib
124	prostate	hematological	1.0	gamma-peposertib
125	prostate	liver	1.0	gamma-peposertib
126	prostate	lung	1.0	gamma-peposertib
127	prostate	melanoma	1.0	gamma-peposertib
128	prostate	ovary	1.0	gamma-peposertib
129	prostate	pancreas	1.0	gamma-peposertib
130	prostate	prostate	1.0	gamma-peposertib
131	prostate	sarcoma	1.0	gamma-peposertib
132	sarcoma	bladder	1.0	gamma-peposertib
133	sarcoma	brain	1.0	gamma-peposertib
134	sarcoma	breast	1.0	gamma-peposertib
135	sarcoma	colon	1.0	gamma-peposertib
136	sarcoma	hematological	0.0052388700228479124	gamma-peposertib
137	sarcoma	liver	1.0	gamma-peposertib
138	sarcoma	lung	1.0	gamma-peposertib
139	sarcoma	melanoma	1.0	gamma-peposertib
140	sarcoma	ovary	1.0	gamma-peposertib
141	sarcoma	pancreas	1.0	gamma-peposertib
142	sarcoma	prostate	1.0	gamma-peposertib
143	sarcoma	sarcoma	1.0	gamma-peposertib
